DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
126100,12,0.97,2019,0.36,0.31,0.22,0.19,0.17,0.0
121109,9,1.15,2020,0.7,0.88,0.44,0.49,0.34,0.1
133150,10,0.84,2020,0.18,0.09,0.08,0.11,0.08,0.03
122100,14,1.05,2020,0.43,0.52,0.3,0.37,0.26,0.08
125100,11,0.93,2020,0.29,0.2,0.11,0.19,0.05,0.0
123100,10,0.97,2020,0.4,0.39,0.26,0.4,0.29,0.0
124105,10,1.06,2020,0.67,0.69,0.4,0.43,0.29,0.1
113100,13,1.09,2020,0.69,0.81,0.56,0.75,0.4,0.14
129100,9,0.83,2020,0.17,0.1,0.08,0.08,0.04,0.14
112100,13,1.41,2020,0.43,0.99,0.18,0.4,0.24,0.0
112102,13,1.63,2020,0.26,0.32,0.07,0.16,0.08,0.0
109100,13,0.97,2020,0.58,0.65,0.45,0.72,0.75,0.0
109101,13,1.33,2020,0.27,0.17,0.06,0.11,0.07,0.0
110120,13,1.02,2020,0.5,0.38,0.29,0.29,0.25,0.0
106102,5,1.26,2020,0.1,0.1,0.03,0.13,0.03,0.0
107102,5,0.83,2020,0.15,0.12,0.08,0.09,0.06,0.02
106100,5,1.15,2020,0.49,0.42,0.24,0.26,0.16,0.0
107100,5,1.25,2020,0.56,0.76,0.32,0.34,0.24,0.0
112104,13,1.97,2020,0.1,0.13,0.0,0.05,0.03,0.0
107101,5,0.9,2020,0.18,0.22,0.12,0.21,0.11,0.0
108100,5,0.93,2020,0.17,0.12,0.14,0.16,0.13,0.0
105102,4,0.92,2020,0.26,0.2,0.11,0.2,0.11,0.0
105101,4,1.06,2020,0.36,0.34,0.21,0.18,0.17,0.0
105100,4,1.04,2020,0.34,0.34,0.19,0.25,0.14,0.0
104100,3,0.85,2020,0.26,0.25,0.18,0.17,0.13,0.0
103101,3,0.93,2020,0.24,0.17,0.16,0.16,0.06,0.0
103100,3,1.16,2020,0.64,0.8,0.33,0.44,0.23,0.0
102100,1,0.95,2020,0.44,0.29,0.31,0.28,0.25,0.04
101100,15,0.98,2020,0.31,0.3,0.26,0.26,0.16,0.05
108101,5,0.91,2020,0.13,0.11,0.1,0.09,0.12,0.0
129106,9,0.88,2020,0.14,0.09,0.06,0.09,0.04,0.05
112103,13,2.31,2020,0.12,0.29,0.01,0.1,0.0,0.0
111195,13,1.67,2020,0.48,0.35,0.15,0.29,0.16,0.08
120101,8,0.99,2020,0.01,0.01,0.4,0.48,0.25,0.05
118105,8,0.7,2020,0.11,0.05,0.06,0.11,0.03,0.14
118100,8,1.3,2020,0.93,0.89,0.46,0.75,0.36,0.23
119100,8,1.06,2020,0.49,0.5,0.31,0.46,0.24,0.0
117101,16,0.98,2020,0.49,0.4,0.31,0.37,0.27,0.06
117102,16,0.79,2020,0.12,0.09,0.08,0.11,0.07,0.05
116108,7,0.9,2020,0.2,0.17,0.18,0.21,0.14,0.0
116105,7,1.15,2020,0.61,0.57,0.46,0.61,0.39,0.0
116100,7,0.92,2020,0.24,0.3,0.21,0.35,0.2,0.0
110100,13,1.29,2020,0.57,0.76,0.33,0.81,0.33,0.0
115107,6,1.0,2020,0.13,0.17,0.08,0.13,0.08,0.0
110150,13,0.77,2020,0.13,0.09,0.08,0.12,0.07,0.04
106103,5,0.77,2020,0.1,0.09,0.07,0.09,0.03,0.0
113180,13,0.97,2020,0.28,0.24,0.22,0.31,0.14,0.0
114101,13,1.15,2020,1.0,1.0,0.69,0.63,0.54,0.0
114103,13,0.97,2020,0.4,0.37,0.27,0.43,0.15,0.04
111101,13,1.15,2020,0.55,0.49,0.29,0.44,0.17,0.09
112101,13,0.87,2020,0.22,0.22,0.27,0.01,0.1,0.0
113130,13,1.15,2020,0.2,0.15,0.06,0.07,0.05,0.04
111100,13,1.01,2020,0.64,0.67,0.34,0.44,0.22,0.1
